Index,Frame Rate - GTAO with Mean Blur
0,135.75
1,136.662
2,136.862
3,136.32
4,133.752
5,134.167
6,135.08
7,134.774
8,135.718
9,135.957
10,133.964
11,132.949
12,134.629
13,135.969
14,136.907
15,136.887
16,135.245
17,135.602
18,134.729
19,135.511
20,137.187
21,140.5
22,140.418
23,139.317
24,139.35
25,138.952
26,139.725
27,138.809
28,137.84
29,138.036
30,139.531
31,139.761
32,138.677
33,137.824
34,138.683
35,139.85
36,140.455
37,139.377
38,139.519
39,139.242
40,137.291
41,135.089
42,135.571
43,137.164
44,137.138
45,137.196
46,137.636
47,137.058
48,137.131
49,137.637
50,137.156
51,137.562
52,137.21
53,137.754
54,136.479
55,137.141
56,136.574
57,137.154
58,136.774
59,137.116
60,138.402
61,137.832
62,137.417
63,142.179
64,143.503
65,142.544
66,141.514
67,141.234
68,140.815
69,141.573
70,143.556
71,143.973
72,141.705
73,141.661
74,142.013
75,142.088
76,141.211
77,141.226
78,141.532
79,140.591
80,139.188
81,137.031
82,138.832
83,139.375
84,138.969
85,138.281
86,138.403
87,139.908
88,140.292
89,140.844
90,140.296
91,137.115
92,136.19
93,137.995
94,137.343
95,137.15
96,136.904
97,134.509
98,131.025
99,130.408
100,133.171
101,134.915
102,134.413
103,130.983
104,129.727
105,130.206
106,130.942
107,130.952
108,130.852
109,131.068
110,130.897
111,130.648
112,130.916
113,130.894
114,131.507
115,130.34
116,131.469
117,130.485
118,131.245
119,130.937
120,130.628
121,128.376
122,129.225
123,128.26
124,127.919
125,126.498
126,126.738
127,127.695
128,127.716
129,127.447
130,127.084
131,127.051
132,127.343
133,126.437
134,127.054
135,126.72
136,127.441
137,127.512
138,127.417
139,127.88
140,129.024
141,131.035
142,128.648
143,128.218
144,128.128
145,129.128
146,129.427
147,128.984
148,129.501
149,129.151
150,125.803
151,129.103
152,132.305
153,131.147
154,129.595
155,129.91
156,131.445
157,133.366
158,136.691
159,137.828
160,137.001
161,133.441
162,133.745
163,136.634
164,139.074
165,138.567
166,136.782
167,137.194
168,137.23
169,137.124
170,136.603
171,136.675
172,137.092
173,137.133
174,137.144
175,137.135
176,135.757
177,136.41
178,137.119
179,136.622
180,136.916
181,139.547
182,139.351
183,140.152
184,140.881
185,142.371
186,142.162
187,141.581
188,141.102
189,141.071
190,141.63
191,141.681
192,141.641
193,141.415
194,140.789
195,141.725
196,142.035
197,141.139
198,141.302
199,141.676
200,142.172
201,141.579
202,142.245
203,142.565
204,143.017
205,143.095
206,142.03
207,141.572
208,141.247
209,142.06
210,145.716
211,143.38
212,141.733
213,142.156
214,143.697
215,142.829
216,141.477
217,141.646
218,142.034
219,141.632
220,141.968
221,145.807
222,144.814
223,143.665
224,144.027
225,143.558
226,143.672
227,142.143
228,144.003
229,143.913
230,144.604
231,144.319
232,144.036
233,143.504
234,143.36
235,144.672
236,145.548
237,145.293
238,143.516
239,142.251
240,142.633
241,141.563
242,141.151
243,141.634
244,141.614
245,141.58
246,140.856
247,139.631
248,141.774
249,142.202
250,140.937
251,138.258
252,138.019
253,140.376
254,140.18
255,139.681
256,138.733
257,139.798
258,139.687
259,138.865
260,139.371
261,139.396
262,139.645
263,138.588
264,137.6
265,137.625
266,139.342
267,139.01
268,139.734
269,139.399
270,138.99
271,139.7
272,139.073
273,139.644
274,139.321
275,139.025
276,139.451
277,139.024
278,138.672
279,137.806
280,139.356
281,139.365
282,140.006
283,139.673
284,139.194
285,139.579
286,139.503
287,141.039
288,139.316
289,139.437
290,138.836
291,137.841
292,137.644
293,139.847
294,139.537
295,137.14
296,135.718
297,137.15
298,137.16
299,139.314
